주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
161-1-000082,참외전로72번길제1노상주차장,공영,노상,인천광역시 중구 참외전로72번길 21(전동),인천광역시 중구 전동 2-1,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47721729,126.6291077,N,2025-06-01
161-1-000083,전동로노상주차장,공영,노상,인천광역시 중구 전동로6번길 2-8(전동),인천광역시 중구 전동 30-9,3,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47612035,126.6268288,N,2025-06-01
161-1-000084,참외전로56번길노상주차장,공영,노상,인천광역시 중구 참외전로56번길 18(전동),인천광역시 중구 전동 25-101,4,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4789068,126.6269992,N,2025-06-01
161-1-000085,자유공원서로노상주차장,공영,노상,인천광역시 중구 자유공원서로 57(전동),인천광역시 중구 전동 25-61,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47787232,126.6235505,N,2025-06-01
161-1-000086,참외전로72번길제2노상주차장,공영,노상,"인천광역시 중구 참외전로72번길 6-3(전동, 전동빌리지)",인천광역시 중구 전동 14-7,4,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4783688,126.627826,N,2025-06-01
161-1-000087,개항로53번길노상주차장,공영,노상,인천광역시 중구 우현로67번길 1-7(내동),인천광역시 중구 내동 203-1,4,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47308103,126.6287566,N,2025-06-01
161-1-000088,자유공원서로제2노상주차장,공영,노상,,인천광역시 중구 송학동1가 1-1,35,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4745162,126.6232948,N,2025-06-01
161-1-000089,차이나타운로20번길노상주차장,공영,노상,"인천광역시 중구 제물량로306번길 17(북성동2가, 다세대주택)",인천광역시 중구 북성동2가 6-2,9,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47790615,126.6183678,N,2025-06-01
161-1-000090,차이나타운로26번길노상주차장,공영,노상,인천광역시 중구 차이나타운로26번길 11-17(북성동2가),인천광역시 중구 북성동2가 9-21,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47693012,126.6185718,N,2025-06-01
161-1-000061,도원로45번길노상주차장,공영,노상,인천광역시 중구 도원로45번길 14(도원동),인천광역시 중구 도원동 25-30,8,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46892658,126.6371966,N,2025-06-01
161-1-000062,서해대로484번길노상주차장,공영,노상,인천광역시 중구 도원서길 60(도원동),인천광역시 중구 도원동 26-20,8,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46830605,126.6369916,N,2025-06-01
161-1-000063,도산로노상주차장,공영,노상,인천광역시 중구 도산로 9-1(도원동),인천광역시 중구 도원동 26-10,3,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46799259,126.6370202,N,2025-06-01
161-1-000064,도원로30번길노상주차장,공영,노상,인천광역시 중구 도원로 28-11(도원동),인천광역시 중구 도원동 30-29,8,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46702827,126.6375268,N,2025-06-01
161-1-000065,도산로22번길노상주차장,공영,노상,인천광역시 중구 도원로26번길 1-11(도원동),인천광역시 중구 도원동 30-32,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46682286,126.6375323,N,2025-06-01
161-1-000066,도산로21번길노상주차장,공영,노상,인천광역시 중구 도산로21번길 8-21(도원동),인천광역시 중구 도원동 70-31,18,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46827128,126.6385788,N,2025-06-01
161-1-000067,도원로제2노상주차장,공영,노상,인천광역시 중구 도원로 63-1(유동),인천광역시 중구 유동 4-1,86,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4700272,126.6388281,N,2025-06-01
161-1-000068,참외전로244번길제2노상주차장,공영,노상,"인천광역시 중구 참외전로244번길 14(도원동, 다인빌라)",인천광역시 중구 도원동 18-43,21,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46868666,126.6400599,N,2025-06-01
161-1-000069,서해대로497번길노상주차장,공영,노상,인천광역시 중구 참외전로 192(율목동),인천광역시 중구 율목동 1-27,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47070157,126.6366137,N,2025-06-01
161-1-000070,도원서길노상주차장,공영,노상,인천광역시 중구 도원서길 109(유동),인천광역시 중구 유동 2-80,9,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4704239,126.6377365,N,2025-06-01
161-1-000071,서해대로500번길노상주차장,공영,노상,인천광역시 중구 서해대로500번길,인천광역시 중구 유동 5-5,16,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47032492,126.6371898,N,2025-06-01
161-1-000072,서해대로494번길노상주차장,공영,노상,인천광역시 중구 서해대로 488-1(유동),인천광역시 중구 유동 29-12,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46935734,126.6366383,N,2025-06-01
161-1-000073,도원서길제2노상주차장,공영,노상,인천광역시 중구 서해대로484번길 8(유동),인천광역시 중구 유동 21,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46842419,126.6367333,N,2025-06-01
161-1-000074,율목로8번길노상주차장,공영,노상,"인천광역시 중구 율목로8번길 13(율목동, 삼미그랜드빌라)",인천광역시 중구 율목동 246-16,15,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46930778,126.6345902,N,2025-06-01
161-1-000075,율목로30번길노상주차장,공영,노상,인천광역시 중구 율목로30번길 6(율목동),인천광역시 중구 율목동 245-34,18,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46933782,126.6338169,N,2025-06-01
161-1-000046,서해대로449번길제2노상주차장,공영,노상,인천광역시 중구 서해대로449번길 6-11(신흥동2가),인천광역시 중구 신흥동2가 42-2,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46662097,126.6340065,N,2025-06-01
161-1-000047,서해대로464번길,공영,노상,인천광역시 중구 서해대로 470(신흥동2가),인천광역시 중구 신흥동2가 18-15,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46770767,126.6357827,N,2025-06-01
161-1-000048,율목로,공영,노상,인천광역시 중구 서해대로 471(신흥동2가),인천광역시 중구 신흥동2가 18-4,11,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4683036,126.6350247,N,2025-06-01
161-1-000049,제물량로113번길제1노상주차장,공영,노상,인천광역시 중구 서해대로449번길 72(신흥동1가),인천광역시 중구 신흥동1가 50-2,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46733171,126.630666,N,2025-06-01
161-1-000050,제물량로95번길노상주차장,공영,노상,인천광역시 중구 제물량로95번길 8(신흥동1가),인천광역시 중구 신흥동1가 94-4,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46736843,126.6321444,N,2025-06-01
161-1-000051,제물량로113번길제2노상주차장,공영,노상,인천광역시 중구 인중로144번길 54-2(신흥동1가),인천광역시 중구 신흥동1가 40-1,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46766155,126.6302168,N,2025-06-01
161-1-000052,서해대로제3노상주차장,공영,노상,인천광역시 중구 서해대로 186(신흥동3가),인천광역시 중구 신흥동3가 50-5,17,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44442351,126.6222218,N,2025-06-01
161-1-000053,매소홀로노상주차장,공영,노상,인천광역시 중구 도원로 3-9(신흥동3가),인천광역시 중구 신흥동3가 6-28,44,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46509549,126.6360214,N,2025-06-01
161-1-000054,축항대로290번길노상주차장,공영,노상,인천광역시 중구 서해대로30번길 35(신흥동3가),인천광역시 중구 신흥동3가 74,34,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.43303678,126.6197392,N,2025-06-01
161-1-000055,서해대로30번길노상주차장,공영,노상,인천광역시 중구 서해대로30번길 35(신흥동3가),인천광역시 중구 신흥동3가 74,46,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.43303678,126.6197392,N,2025-06-01
161-1-000056,축항대로296번길노상주차장,공영,노상,인천광역시 중구 축항대로296번길 183(신흥동3가),인천광역시 중구 신흥동3가 70,7,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.43169473,126.6238225,N,2025-06-01
161-1-000057,도원로26번길노상주차장,공영,노상,인천광역시 중구 도원로26번길 33(도원동),인천광역시 중구 도원동 41-25,16,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46559035,126.6384956,N,2025-06-01
161-1-000058,참외전로244번길제1노상주차장,공영,노상,"인천광역시 중구 참외전로244번길 42(도원동, 영산빌라)",인천광역시 중구 도원동 46-23,14,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46672574,126.6387717,N,2025-06-01
161-1-000059,도원로10번길제2노상주차장,공영,노상,인천광역시 중구 도원로30번길 26(도원동),인천광역시 중구 도원동 42-4,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46637847,126.6383528,N,2025-06-01
161-1-000060,도원로56번길노상주차장,공영,노상,인천광역시 중구 도원로 54-1(도원동),인천광역시 중구 도원동 21-89,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46914317,126.6384887,N,2025-06-01
161-1-000031,축항대로제2노상주차장,공영,노상,인천광역시 중구 축항대로 64(항동7가),인천광역시 중구 항동7가 64-2,50,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.45758397,126.6043972,N,2025-06-01
161-1-000032,서해대로209번길제1노상주차장,공영,노상,인천광역시 중구 서해대로209번길 2(항동7가),인천광역시 중구 항동7가 76-2,28,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44800115,126.622109,N,2025-06-01
161-1-000033,서해대로209번길제2노상주차장,공영,노상,인천광역시 중구 서해대로209번길 2(항동7가),인천광역시 중구 항동7가 76-2,49,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44800115,126.622109,N,2025-06-01
161-1-000034,서해대로제1노상주차장,공영,노상,인천광역시 중구 서해대로 137-5(항동7가),인천광역시 중구 항동7가 104-3,46,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44218438,126.61728,N,2025-06-01
161-1-000035,서해대로제2노상주차장,공영,노상,인천광역시 중구 서해대로209번길 2(항동7가),인천광역시 중구 항동7가 76-2,45,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44800115,126.622109,N,2025-06-01
161-1-000036,연안부두로제2노상주차장,공영,노상,인천광역시 중구 연안부두로 119(항동7가),인천광역시 중구 항동7가 67,70,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44936976,126.5978044,N,2025-06-01
161-1-000037,서해대로제3노상주차장,공영,노상,인천광역시 중구 서해대로 168(신흥동3가),인천광역시 중구 신흥동3가 51,47,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44307764,126.6231146,N,2025-06-01
161-1-000038,도원로제1노상주차장,공영,노상,인천광역시 중구 도원로 23(선화동),인천광역시 중구 선화동 2-11,43,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46660835,126.6369229,N,2025-06-01
161-1-000039,도원로10번길제1노상주차장,공영,노상,인천광역시 중구 도원로10번길 7(선화동),인천광역시 중구 선화동 35-3,8,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4655985,126.6366882,N,2025-06-01
161-1-000040,도원로8번길노상주차장,공영,노상,"인천광역시 중구 도원로26번길 34(선화동, 뉴월드그린빌라)",인천광역시 중구 선화동 10-1,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46548365,126.6382248,N,2025-06-01
161-1-000041,인중로50번길노상주차장,공영,노상,인천광역시 중구 도원로26번길 48(선화동),인천광역시 중구 선화동 14-1,2,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46511108,126.6387523,N,2025-06-01
161-1-000042,인중로42번길노상주차장,공영,노상,인천광역시 중구 인중로42번길 14(선화동),인천광역시 중구 선화동 14-15,13,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46474104,126.6391384,N,2025-06-01
161-1-000043,도원로20번길노상주차장,공영,노상,인천광역시 중구 도원로14번길 9-7(선화동),인천광역시 중구 선화동 6-2,9,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46578078,126.6373655,N,2025-06-01
161-1-000044,도원로14번길노상주차장,공영,노상,인천광역시 중구 도원로14번길 11(선화동),인천광역시 중구 선화동 27-8,6,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46553162,126.6372085,N,2025-06-01
161-1-000045,서해대로449번길노상주차장,공영,노상,인천광역시 중구 서해대로449번길 15(신흥동2가),인천광역시 중구 신흥동2가 48-5,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4664395,126.6335959,N,2025-06-01
161-1-000016,제물량로제2노상주차장,공영,노상,인천광역시 중구 제물량로206번길 2(해안동3가),인천광역시 중구 해안동3가 2-16,5,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47163519,126.6217414,N,2025-06-01
161-1-000017,개항로제1노상주차장,공영,노상,인천광역시 중구 제물량로 190(해안동4가),인천광역시 중구 해안동4가 3-3,21,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47083943,126.6230974,N,2025-06-01
161-1-000018,제물량로133번길노상주차장,공영,노상,인천광역시 중구 제물량로 123(답동),인천광역시 중구 답동 36,12,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46826681,126.6289975,N,2025-06-01
161-1-000019,우현로20번길노상주차장,공영,노상,인천광역시 중구 인중로 146(신생동),인천광역시 중구 신생동 25-1,12,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46821127,126.6282965,N,2025-06-01
161-1-000020,인중로144번길노상주차장,공영,노상,인천광역시 중구 인중로144번길 9(신생동),인천광역시 중구 신생동 26-9,23,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.46689738,126.6278829,N,2025-06-01
161-1-000021,연안부두로128번길노상주차장,공영,노상,인천광역시 중구 연안부두로128번길 35(항동7가),인천광역시 중구 항동7가 82-17,59,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44904199,126.5936473,N,2025-06-01
161-1-000022,연안부두로148번길노상주차장,공영,노상,인천광역시 중구 연안부두로148번길 10(항동7가),인천광역시 중구 항동7가 82-23,23,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44713399,126.5963744,N,2025-06-01
161-1-000023,연안부두로148번길제2노상주차장,공영,노상,인천광역시 중구 연안부두로148번길 10(항동7가),인천광역시 중구 항동7가 82-23,26,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44713399,126.5963744,N,2025-06-01
161-1-000024,연안부두로제1노상주차장,공영,노상,인천광역시 중구 연안부두로148번길 10(항동7가),인천광역시 중구 항동7가 82-23,80,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.44713399,126.5963744,N,2025-06-01
161-1-000025,축항대로86번길노상주차장,공영,노상,인천광역시 중구 축항대로86번길 69(항동7가),인천광역시 중구 항동7가 108-3,43,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4504837,126.6043008,N,2025-06-01
161-1-000026,연안부두로75번길노상주차장,공영,노상,인천광역시 중구 연안부두로75번길 4(항동7가),인천광역시 중구 항동7가 85-6,32,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.45267739,126.5986095,N,2025-06-01
161-1-000027,축항대로86번길제2노상주차장,공영,노상,인천광역시 중구 축항대로86번길 5(항동7가),인천광역시 중구 항동7가 27-48,15,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.45579478,126.6071599,N,2025-06-01
161-1-000028,연안초등학교뒷길 노상주차장,공영,노상,인천광역시 중구 연안부두로33번길 53(항동7가),인천광역시 중구 항동7가 27-74,11,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.45368797,126.6076275,N,2025-06-01
161-1-000029,축항대로86번길제3노상주차장,공영,노상,인천광역시 중구 축항대로 84(항동7가),인천광역시 중구 항동7가 27-114,11,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.45636214,126.6065376,N,2025-06-01
161-1-000030,축항대로제1노상주차장,공영,노상,인천광역시 중구 내항로 2-45(항동7가),인천광역시 중구 항동7가 42,78,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.45989456,126.6082508,N,2025-06-01
161-1-000001,제물량로241번길노상주차장,공영,노상,인천광역시 중구 제물량로241번길 16,인천광역시 중구 항동1가 2-5,46,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47366391,126.6171594,N,2025-06-01
161-1-000002,신포로35번길노상주차장,공영,노상,인천광역시 중구 신포로35번길 49,인천광역시 중구 관동2가 9,14,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47318976,126.6232574,N,2025-06-01
161-1-000003,자유공원남로노상주차장,공영,노상,인천광역시 중구 신포로27번길 80(관동1가),인천광역시 중구 관동1가 9-1,3,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47408104,126.6213401,N,2025-06-01
161-1-000004,신포로35번길제2노상주차장,공영,노상,인천광역시 중구 신포로35번길 88(송학동1가),인천광역시 중구 송학동1가 9-6,13,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47427289,126.6216015,N,2025-06-01
161-1-000005,자유공원남로제2노상주차장,공영,노상,인천광역시 중구 자유공원남로 12(송학동1가),인천광역시 중구 송학동1가 9,3,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47440655,126.6217003,N,2025-06-01
161-1-000006,신포로23번길제1노상주차장,공영,노상,인천광역시 중구 신포로23번길 49(중앙동3가),인천광역시 중구 중앙동3가 4-41,26,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47205911,126.6224446,N,2025-06-01
161-1-000007,제물량로232번안길노상주차장,공영,노상,인천광역시 중구 신포로23번길 61(중앙동2가),인천광역시 중구 중앙동2가 9,9,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47248658,126.6217795,N,2025-06-01
161-1-000008,신포로15번길제1노상주차장,공영,노상,인천광역시 중구 신포로15번길 77(해안동2가),인천광역시 중구 해안동2가 8-2,19,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47232356,126.6206165,N,2025-06-01
161-1-000009,제물량로제1노상주차장,공영,노상,인천광역시 중구 제물량로 208(해안동2가),인천광역시 중구 해안동2가 4-16,18,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47173179,126.6215193,N,2025-06-01
161-1-000010,신포로39번길노상주차장,공영,노상,인천광역시 중구 신포로39번길 23(송학동3가),인천광역시 중구 송학동3가 7-9,9,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.4728737,126.6247332,N,2025-06-01
161-1-000011,신포로35번길제3노상주차장,공영,노상,인천광역시 중구 신포로39번길 15(송학동3가),인천광역시 중구 송학동3가 7-13,3,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47249269,126.6250516,N,2025-06-01
161-1-000012,신포로노상주차장,공영,노상,인천광역시 중구 송학로 42(내동),인천광역시 중구 내동 2-26,10,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47464348,126.6270758,N,2025-06-01
161-1-000013,신포로35번길제4노상주차장,공영,노상,"인천광역시 중구 신포로35번길 54(송학동2가, 동국빌리지)",인천광역시 중구 송학동2가 16,19,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47329178,126.6236051,N,2025-06-01
161-1-000014,신포로23번길제2노상주차장,공영,노상,인천광역시 중구 신포로23번길 52(중앙동3가),인천광역시 중구 중앙동3가 3-13,23,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,인천광역시 중구청,032-760-7689,37.47248808,126.6224741,N,2025-06-01
